dept,course,sectionNumber,term,day,startTime,endTime,buildingCd,building,roomNo,instructors,activity,credits,totalSeatsRemaining,currentlyRegistered,generalSeatsRemaining,restrictedSeatsRemaining,termCd,startWk,endWk
"CPSC","210","103","1","Fri","14:00","15:00","DMP","Hugh Dempster Pavilion","310","CARTER, PAUL MARTIN","Lecture","4","0","179","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","110","L2U","2","Fri","12:00","15:00","ICCS","Institute for Computing (ICICS/CS)","X250","TBD","Laboratory","n/a","19","7","19","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","T1F","1","Mon","12:00","13:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","0","40","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","542G","201","2","Tue","9:30","11:00","ICCS","Institute for Computing (ICICS/CS)","246","ASCHER, URI MICHAEL; GREIF, CHEN;","Lecture","3","4","21","0","4","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","542G","201","2","Thu","9:30","11:00","ICCS","Institute for Computing (ICICS/CS)","246","ASCHER, URI MICHAEL; GREIF, CHEN;","Lecture","3","4","21","0","4","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L1A","1","Mon","9:00","12:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","0","27","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","T1E","1","Wed","11:00","12:00","DMP","Hugh Dempster Pavilion","201","TBD","Tutorial","n/a","0","40","0","0","1","Sep 05, 2017","Dec 01, 2017"
"CPSC","121","L2K","2","Mon","16:00","18:00","ICCS","Institute for Computing (ICICS/CS)","011","TBD","Laboratory","n/a","1","25","1","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","202","2","Wed","10:00","11:00","PHRM","Pharmaceutical Sciences Building","1201","VOGT, RYAN","Lecture","4","26","134","0","26","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","202","2","Mon","10:00","11:00","PHRM","Pharmaceutical Sciences Building","1201","VOGT, RYAN","Lecture","4","26","134","0","26","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","121","202","2","Fri","10:00","11:00","PHRM","Pharmaceutical Sciences Building","1201","VOGT, RYAN","Lecture","4","26","134","0","26","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","TZZ","1","Thu","15:30","18:30"," "," "," ","TBD","Workshop","n/a","0","0","0","0","X","Sep 14, 2017","Dec 01, 2017"
"CPSC","110","TZZ","1","Tue","15:30","18:30"," "," "," ","TBD","Workshop","n/a","0","0","0","0","X","Sep 14, 2017","Dec 01, 2017"
"CPSC","110","VAN","2","Fri","16:00","17:00","ICCS","Institute for Computing (ICICS/CS)","X360","TBD","Tutorial","n/a","0","0","0","0","X","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","L2S","2","Mon","9:00","12:00","ICCS","Institute for Computing (ICICS/CS)","X260","TBD","Laboratory","n/a","12","14","12","0","2","Jan 03, 2018","Apr 06, 2018"
"CPSC","110","203","2","Tue","9:30","11:00","SWNG","West Mall Swing Space","121","CARTER, PAUL MARTIN","Lecture","4","0","154","0","0","2","Jan 03, 2018","Apr 06, 2018"
